127.0.0.1 - - [27/Sep/2017:14:15:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/ HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/h1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/h2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/h3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/J7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/Xiaomi-Redmi-Note4-grey-med.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/ASUS_zenfone_3_Max__L_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:58 +0530] "GET /ecommerce1/resources/images/nokia.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:15:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:05 +0530] "GET /ecommerce1/login HTTP/1.1" 200 4538
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:06 +0530] "GET /ecommerce1/login HTTP/1.1" 200 4538
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:18 +0530] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:18 +0530] "GET /ecommerce1/ HTTP/1.1" 200 9459
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:21 +0530] "GET /ecommerce1/user/view/cart HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:21 +0530] "GET /ecommerce1/resources/images/product/J7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:21 +0530] "GET /ecommerce1/resources/images/product/nokia.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:25 +0530] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:16:25 +0530] "GET /ecommerce1/ HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:22:06 +0530] "GET /ecommerce1/registerpage HTTP/1.1" 200 5140
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:23:06 +0530] "POST /ecommerce1/userSubmit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:23:06 +0530] "GET /ecommerce1/login HTTP/1.1" 200 4538
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:24:17 +0530] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:24:17 +0530] "GET /ecommerce1/ HTTP/1.1" 200 9459
0:0:0:0:0:0:0:1 - - [27/Sep/2017:14:24:26 +0530] "GET /ecommerce1/nokia HTTP/1.1" 404 992
